TE;NP;NU;Код об’єкта Кодифікатора;Категорія об’єкта Кодифікатора;Назва об’єкта Кодифікатора
0120784600;;МІЧУРІНСЬКА/С.МІЧУРІНСЬКЕ;UA01040470000054380;Н;Мічурінська
0120784601;С;МІЧУРІНСЬКЕ;UA01040470010029499;С;Мічурінське
0120784602;С;ЛІЧЕБНЕ;UA01040470020022194;С;Лічебне
0120785000;;МУРОМСЬКА/С.МУРОМСЬКЕ;UA01040490000050783;Н;Муромська 
0120785001;С;МУРОМСЬКЕ;UA01040490010025598;С;Муромське
0120785002;С;ДИВНЕ;UA01040490020063961;С;Дивне
0120785003;С;КРИВЦОВЕ;UA01040490030029723;С;Кривцове
0120785005;С;СІННЕ;UA01040490040010927;С;Сінне
0120785006;С;ХЛІБНЕ;UA01040490050091795;С;Хлібне
0120785800;;НОВОЖИЛІВСЬКА/С.НОВОЖИЛІВКА;UA01040550000033125;Н;Новожилівська 
0120785801;С;НОВОЖИЛІВКА;UA01040550010088649;С;Новожилівка
0120785802;С;АННІВКА;UA01040550020032608;С;Аннівка
0120785803;С;НОВООЛЕКСАНДРІВКА;UA01040550030042514;С;Новоолександрівка
0120785804;С;ТУРГЕНЄВЕ;UA01040550040026027;С;Тургенєве
0120786300;;РУСАКІВСЬКА/С.РУСАКІВКА;UA01040630000018582;Н;Русаківська 
0120786301;С;РУСАКІВКА;UA01040630010035977;С;Русаківка
0120786302;С;ЛУГОВЕ;UA01040630020089356;С;Лугове
0120788400;;ЦВІТОЧНЕНСЬКА/С.ЦВІТОЧНЕ;UA01040690000074143;Н;Цвіточненська 
0120788401;С;ЦВІТОЧНЕ;UA01040690010075069;С;Цвіточне
0120788402;С;ДОЛИНІВКА;UA01040690020016998;С;Долинівка
0120788800;;ЧОРНОПІЛЬСЬКА/С.ЧОРНОПІЛЛЯ;UA01040730000084787;Н;Чорнопільська 
0120788801;С;ЧОРНОПІЛЛЯ;UA01040730010039853;С;Чорнопілля
0120788802;С;ДОЗОРНЕ;UA01040730020037154;С;Дозорне
0120788803;С;КИЗИЛІВКА;UA01040730030063814;С;Кизилівка
0120788804;С;УЛЬЯНОВКА;UA01040730040030160;С;Султан-Сарай
0121100000;;ДЖАНКОЙСЬКИЙ РАЙОН/М.ДЖАНКОЙ;UA01060000000028159;Р;Джанкойський
0121155000;;СЕЛИЩА МІСЬКОГО ТИПУ ДЖАНКОЙСЬКОГО Р-НУ;UA01060000000028159;Р;Джанкойський
0121155200;Т;АЗОВСЬКЕ;UA01060010010090682;T;Азовське
0121155400;Т;ВІЛЬНЕ;UA01060030010037486;T;Вільне
0121180000;;СІЛЬРАДИ ДЖАНКОЙСЬКОГО Р-НУ;UA01060000000028159;Р;Джанкойський
0121180600;;ЄРМАКІВСЬКА/С.ЄРМАКОВЕ;UA01060070000050618;Н;Єрмаківська 
0121180601;С;ЄРМАКОВЕ;UA01060070010079622;С;Єрмакове
0121180602;С;ВІТВИСТЕ;UA01060070020020057;С;Вітвисте
0121180603;С;КОПАНІ;UA01060070030055199;С;Копані
0121180604;С;ОСТРОВСЬКЕ;UA01060070070051856;С;Тархан-Сунак
0121180605;С;ПРИДОРОЖНЄ;UA01060070040077324;С;Придорожнє
0121180606;С;СОЛОНЕ ОЗЕРО;UA01060070050062490;С;Солоне Озеро
0121180607;С;СТОВПОВЕ;UA01060070060083016;С;Стовпове
0121180800;;ЗАВІТ-ЛЕНІНСЬКА/С.ЗАВІТ-ЛЕНІНСЬКИЙ;UA01060090000040099;Н;Завіто-Ленінська 
0121180801;С;ЗАВІТ-ЛЕНІНСЬКИЙ;UA01060090010012913;С;Кучук-Алкали
0121180802;С;ЗЕЛЕНИЙ ЯР;UA01060090020040554;С;Зелений Яр
0121180803;С;МАРТИНІВКА;UA01060090030020893;С;Мартинівка
0121180804;С;МІЛКОВОДНЕ;UA01060090040090998;С;Мілководне
0121180805;С;ПУШКІНЕ;UA01060090050035872;С;Пушкіне
0121180806;С;СОЛОНЦЕВЕ;UA01060090060088166;С;Солонцеве
0121181300;;ЗАРІЧНЕНСЬКА/С.ЗАРІЧНЕ;UA01060110000056995;Н;Зарічненська 
0121181301;С;ЗАРІЧНЕ;UA01060110010025642;С;Зарічне
0121181302;С;АРМІЙСЬКЕ;UA01060110020054068;С;Армійське
0121181303;С;БОЛОТНЕ;UA01060110030095585;С;Болотне
0121181305;Щ;МИТЮРИНЕ;UA01060110070010109;Х;Митюрине
0121181306;С;НИЗИННЕ;UA01060110040062805;С;Низинне
0121181307;С;ПЕРЕПІЛКИНЕ;UA01060110050080013;С;Перепілкине
0121181308;С;СУМІЖНЕ;UA01060110060044964;С;Суміжне
0121181500;;ІЗУМРУДНІВСЬКА/С.ІЗУМРУДНЕ;UA01060130000083087;Н;Ізумруднівська 
0121181501;С;ІЗУМРУДНЕ;UA01060130010045779;С;Ізумрудне
0121181502;С;ДМИТРІВКА;UA01060130020057887;С;Дмитрівка
0121181503;С;КАЛИНІВКА;UA01060130030038263;С;Калинівка
0121181504;С;МІЧУРІНІВКА;UA01060130040012002;С;Мічурінівка
0121181505;С;НОВОСТЕПОВЕ;UA01060130050057960;С;Новостепове
0121181506;С;ОВОЧЕВЕ;UA01060130060096110;С;Овочеве
0121181700;;КІНДРАТІВСЬКА/С.КІНДРАТОВЕ;UA01060150000096126;Н;Кіндратівська 
0121181701;С;КІНДРАТОВЕ;UA01060150010027388;С;Кіндратове
0121181702;Щ;ДОРОЖНЄ;UA01060150040088519;Х;Дорожнє
0121181703;С;РУБИНІВКА;UA01060150030057302;С;Рубинівка
0121181704;С;СОВЄТСЬКЕ;UA01060150020068737;С;Мішен-Найман
0121181800;;КРИМКІВСЬКА/С.КРИМКА;UA01060170000087883;Н;Кримківська 
0121181801;С;КРИМКА;UA01060170010033391;С;Кримка
0121181900;;ЛОБАНІВСЬКА/С.ЛОБАНОВЕ;UA01060190000037533;Н;Лобанівська 
0121181901;С;ЛОБАНОВЕ;UA01060190010025055;С;Лобанове
0121181903;С;ЖИЛИНЕ;UA01060190020063631;С;Жилине
0121181904;С;МАР'ЇНЕ;UA01060190030045526;С;Мар’їне
0121181905;С;ОРДЕНОНОСНЕ;UA01060190040064489;С;Орденоносне
0121181906;Щ;ЯСНЕ;UA01060190050045891;Х;Ясне
0121182300;;ЛУГАНСЬКА/С.ЛУГАНСЬКЕ;UA01060210000015881;Н;Луганська 
0121182301;С;ЛУГАНСЬКЕ;UA01060210010054267;С;Луганське
0121182302;С;КОВИЛЬНЕ;UA01060210030030095;С;Ковильне
0121182303;С;ПРОБУДЖЕННЯ;UA01060210040086529;С;Пробудження
0121182304;С;ТУТОВЕ;UA01060210050082911;С;Тутове
0121182305;С;УДАРНЕ;UA01060210020070598;С;Джадра-Шейх-Елі
0121182500;;МАЙСЬКА/С.МАЙСЬКЕ;UA01060230000090283;Н;Майська 
0121182501;С;МАЙСЬКЕ;UA01060230010081534;С;Майське
0121182502;С;БЛИЖНЄ;UA01060230030011132;С;Ближнє
0121182503;С;ЛАРИНЕ;UA01060230040047884;С;Житомирське
0121182505;С;ОКТЯБР;UA01060230020019545;С;Бай-Кончек
0121182506;С;ПОЛЬОВЕ;UA01060230050014955;С;Польове
0121182900;;МАСЛІВСЬКА/С.МАСЛОВЕ;UA01060250000010093;Н;Маслівська 
0121182901;С;МАСЛОВЕ;UA01060250010035790;С;Маслове
0121182902;С;КОМСОМОЛЬСЬКЕ;UA01060250030035126;С;Орак-Аджи
0121182903;С;СУБОТНИК;UA01060250020088912;С;Конурча
0121183400;;МЕДВЕДІВСЬКА/С.МЕДВЕДІВКА;UA01060270000057570;Н;Медведівська 
0121183401;С;МЕДВЕДІВКА;UA01060270010016642;С;Медведівка
0121183402;С;ПЕРЕДМІСТНЕ;UA01060270020055295;С;Передмістне
0121183403;С;ТУРГЕНЄВЕ;UA01060270030024975;С;Тургенєве
0121183600;;МИРНІВСЬКА/С.МИРНІВКА;UA01060290000012729;Н;Мирнівська 
0121183601;С;МИРНІВКА;UA01060290010093008;С;Мирнівка
0121183602;С;ДНІПРОВКА;UA01060290020059939;С;Дніпровка
0121183603;С;КОСТЯНТИНІВКА;UA01060290030056654;С;Костянтинівка
0121183604;С;РИСАКОВЕ;UA01060290040096431;С;Рисакове
0121183605;С;ТИМОФІЇВКА;UA01060290050016030;С;Тимофіївка
0121183800;;НОВОКРИМСЬКА/С.НОВОКРИМСЬКЕ;UA01060310000070223;Н;Новокримська 
0121183801;С;НОВОКРИМСЬКЕ;UA01060310010077633;С;Новокримське
0121183802;С;ІСТОЧНЕ;UA01060310020084102;С;Істочне
0121183803;С;ПАВЛІВКА;UA01060310030037516;С;Павлівка
0121184000;;ПАХАРІВСЬКА/С.ПАХАРІВКА;UA01060330000093805;Н;Пахарівська 
0121184001;С;ПАХАРІВКА;UA01060330010057478;С;Пахарівка
0121184002;С;ВИПАСНЕ;UA01060330020054147;С;Випасне
0121184100;;ПОБЄДНЕНСЬКА/С.ПОБЄДНЕ;UA01060350000056233;Н;Побєдненська 
0121184101;С;ПОБЄДНЕ;UA01060350010072722;С;Побєдне
0121184102;С;НОВЕ ЖИТТЯ;UA01060350020027998;С;Нове Життя
0121184103;С;ТАРАСІВКА;UA01060350030082893;С;Тарасівка
0121184200;;ПРОСТОРНЕНСЬКА/С.ПРОСТОРНЕ;UA01060370000043403;Н;Просторненська 
0121184201;С;ПРОСТОРНЕ;UA01060370010062246;С;Просторне
0121184202;С;АНТОНІВКА;UA01060370020044063;С;Антонівка
0121184203;С;АПРЕЛІВКА;UA01060370030050272;С;Апрелівка
0121184205;С;БОРОДІНО;UA01060370040017640;С;Бородіно
0121184207;С;НИЖНІ ОТРОЖКИ;UA01060370050059566;С;Нижні Отрожки
0121184208;С;СЛОВ'ЯНСЬКЕ;UA01060370060019643;С;Слов’янське
0121184209;С;СТЕФАНІВКА;UA01060370070099918;С;Стефанівка
0121185500;;РОЗКІШНЕНСЬКА/С.РОЗКІШНЕ;UA01060390000046603;Н;Розкішненська 
0121185501;С;РОЗКІШНЕ;UA01060390010064808;С;Розкішне
0121185503;С;ЗЕРНОВЕ;UA01060390020015060;С;Зернове
0121185600;;РОЩИНСЬКА/С.РОЩИНЕ;UA01060410000094479;Н;Рощинська 
0121185601;С;РОЩИНЕ;UA01060410010056869;С;Рощине
0121185602;С;БЛИЖНЬОГОРОДСЬКЕ;UA01060410020048220;С;Ближньогородське
0121185603;С;КРАСНОДОЛЬНЕ;UA01060410030043595;С;Краснодольне
0121185604;С;ОЗЕРНЕ;UA01060410040018353;С;Озерне
0121185605;С;СЄРНОВОДСЬКЕ;UA01060410050095410;С;Сєрноводське
0121185800;;СВІТЛІВСЬКА/С.СВІТЛЕ;UA01060430000047350;Н;Світлівська 
0121185801;С;СВІТЛЕ;UA01060430010016957;С;Світле
0121185805;С;БЛАГОДАТНЕ;UA01060430020098298;С;Благодатне
0121186000;;СТАЛЬНЕНСЬКА/С.СТАЛЬНЕ;UA01060450000039619;Н;Стальненська 
0121186001;С;СТАЛЬНЕ;UA01060450010038318;С;Стальне
0121186002;С;МНОГОВОДНЕ;UA01060450020063825;С;Многоводне
0121186003;С;НОВОКОСТЯНТИНІВКА;UA01060450030042795;С;Новокостянтинівка
0121186004;С;НОВОПАВЛІВКА;UA01060450040092919;С;Новопавлівка
0121186005;С;НОВОФЕДОРІВКА;UA01060450050080305;С;Новофедорівка
0121186006;С;ОЗЕРКИ;UA01060450060013660;С;Озерки
0121186007;С;ПРОЗРАЧНЕ;UA01060450070071811;С;Прозрачне
0121186008;С;РІДНЕ;UA01060450080046823;С;Рідне
0121186200;;ТАБАЧНЕНСЬКА/С.ТАБАЧНЕ;UA01060470000074569;Н;Табачненська 
0121186201;С;ТАБАЧНЕ;UA01060470010070359;С;Табачне
0121186203;С;НОВОСІЛЬЦЕВЕ;UA01060470020078384;С;Новосільцеве
0121186207;С;ФЕДОРІВКА;UA01060470030034624;С;Федорівка
0121186209;С;ХЛІБНЕ;UA01060470040097468;С;Хлібне
0121187200;;ЦІЛИННА/С.ЦІЛИННЕ;UA01060490000025706;Н;Цілинна 
0121187201;С;ЦІЛИННЕ;UA01060490010090976;С;Цілинне
0121187202;С;КОЛОСКИ;UA01060490020033500;С;Колоски
0121187203;С;ТОМАШІВКА;UA01060490030057741;С;Томашівка
0121187500;;ЧАЙКИНСЬКА/С.ЧАЙКИНЕ;UA01060510000014745;Н;Чайкинська 
0121187501;С;ЧАЙКИНЕ;UA01060510010048579;С;Чайкине
0121187503;С;МИСОВЕ;UA01060510020099749;С;Мисове
0121188200;;ЯРКІВСЬКА/С.ЯРКЕ;UA01060530000083757;Н;Ярківська 
0121188201;С;ЯРКЕ;UA01060530010049751;С;Ярке
0121188204;С;ЯСТРУБЦІ;UA01060530020067140;С;Яструбці
0121188400;;ЯРКОПОЛЕНСЬКА/С.ЯРКЕ ПОЛЕ;UA01060550000035996;Н;Яркополенська 
0121188401;С;ЯРКЕ ПОЛЕ;UA01060550010089778;С;Ярке Поле
0121188402;С;АРБУЗІВКА;UA01060550020050465;С;Арбузівка
0121188403;С;ВЕСЕЛЕ;UA01060550030014907;С;Веселе
0121188404;С;ВІДРАДНЕ;UA01060550040014571;С;Відрадне
0121188406;Щ;ДІБРІВКА;UA01060550080083879;Х;Дібрівка
0121188407;С;НАХІДКА;UA01060550050063361;С;Нахідка
0121188408;С;СЛОВ'ЯНКА;UA01060550060077158;С;Слов’янка
0121188409;С;ТІМІРЯЗЄВЕ;UA01060550070077959;С;Тімірязєве
0121188600;;ЯСНОПОЛЯНСЬКА/С.ЯСНОПОЛЯНСЬКЕ;UA01060570000054277;Н;Яснополянська 
0121188601;С;ЯСНОПОЛЯНСЬКЕ;UA01060570010064156;С;Яснополянське
0121188602;Щ;ВОЛОДИНЕ;UA01060570030017540;Х;Володине
0121188603;С;РЮМШИНЕ;UA01060570020013654;С;Рюмшине
0121600000;;КІРОВСЬКИЙ РАЙОН/СМТ КІРОВСЬКЕ;UA01180000000068971;Р;Феодосійський
0121610000;;МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ КІРОВСЬКОГО Р-НУ;UA01180000000068971;Р;Феодосійський
0121610400;М;СТАРИЙ КРИМ;UA01180630010017505;M;Старий Крим
0121655000;;СЕЛИЩА МІСЬКОГО ТИПУ КІРОВСЬКОГО Р-НУ;UA01180000000068971;Р;Феодосійський
0121655100;Т;КІРОВСЬКЕ;UA01180230010088856;T;Іслям-Терек
0121680000;;СІЛЬРАДИ КІРОВСЬКОГО Р-НУ;UA01180000000068971;Р;Феодосійський
0121680100;;АБРИКОСІВСЬКА/С.АБРИКОСІВКА;UA01180010000042297;Н;Абрикосівська 
0121680101;С;АБРИКОСІВКА;UA01180010010045412;С;Абрикосівка
0121680102;С;БАБЕНКОВЕ;UA01180010020057744;С;Бабенкове
0121680103;С;КРИНИЧКИ;UA01180010030069825;С;Кринички
0121680104;С;МАТРОСІВКА;UA01180010040084557;С;Матросівка
0121680800;;ВЛАДИСЛАВІВСЬКА/С.ВЛАДИСЛАВІВКА;UA01180070000032242;Н;Владиславівська 
0121680801;С;ВЛАДИСЛАВІВКА;UA01180070010098796;С;Владиславівка
0121680802;Щ;ВУЗЛОВЕ;UA01180070020082957;Х;Вузлове
0121681800;;ЖУРАВСЬКА/С.ЖУРАВКИ;UA01180150000021839;Н;Журавська 
0121681801;С;ЖУРАВКИ;UA01180150010048826;С;Журавки
0121681802;С;ВИДНЕ;UA01180150020096147;С;Видне
0121681803;С;МАКІВСЬКЕ;UA01180150030024130;С;Маківське
0121681804;С;НОВОПОКРОВКА;UA01180150040075509;С;Новопокровка
0121681805;С;ТУТІВКА;UA01180150050067727;С;Тутівка
0121682200;;ЗОЛОТОПОЛЕНСЬКА/С.ЗОЛОТЕ ПОЛЕ;UA01180190000061627;Н;Золотополенська 
0121682201;С;ЗОЛОТЕ ПОЛЕ;UA01180190010054761;С;Золоте Поле
0121682202;С;ВІДРОДЖЕННЯ;UA01180190020035578;С;Відродження
0121682600;;ЛЬГОВСЬКА/С.ЛЬГОВСЬКЕ;UA01180310000020688;Н;Льговська 
0121682601;С;ЛЬГОВСЬКЕ;UA01180310010099618;С;Льговське
0121682602;С;ДОБРОЛЮБОВКА;UA01180310020039942;С;Добролюбовка
0121682603;С;ДОЛИННЕ;UA01180310030056790;С;Долинне
0121682604;С;ПРУДИ;UA01180310040051773;С;Пруди
0121682800;;ПАРТИЗАНСЬКА/С.ПАРТИЗАНИ;UA01180450000076517;Н;Партизанська 
0121682801;С;ПАРТИЗАНИ;UA01180450010024439;С;Партизани
0121682802;С;СПАСІВКА;UA01180450020060067;С;Спасівка
0121683000;;ПЕРВОМАЙСЬКА/С.ПЕРВОМАЙСЬКЕ;UA01180470000087181;Н;Первомайська 
0121683001;С;ПЕРВОМАЙСЬКЕ;UA01180470010020354;С;Первомайське
0121683002;С;ВІДВАЖНЕ;UA01180470020036643;С;Відважне
0121683003;С;ЖЕМЧУЖИНА КРИМУ;UA01180470030033460;С;Жемчужина Криму
0121683004;С;ІЗОБІЛЬНЕ;UA01180470040077161;С;Ізобільне
0121683005;С;ІЗЮМІВКА;UA01180470050036967;С;Ізюмівка
0121683006;С;КЛЮЧОВЕ;UA01180470060022931;С;Ключове
0121683007;С;САДОВЕ;UA01180470070031867;С;Садове
0121683400;;ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ;UA01180490000091735;Н;Привітненська 
0121683401;С;ПРИВІТНЕ;UA01180490010066438;С;Привітне
0121683402;С;АЙВАЗОВСЬКЕ;UA01180490020032565;С;Айвазовське
0121683900;;СИНИЦИНСЬКА/С.СИНИЦИНЕ;UA01180570000091536;Н;Синицинська 
0121683901;С;СИНИЦИНЕ;UA01180570010073389;С;Синицине
0121683902;С;ВАСИЛЬКОВЕ;UA01180570020048454;С;Василькове
0121683903;С;КРАСНІВКА;UA01180570030061575;С;Краснівка
0121684600;;ТОКАРЄВСЬКА/С.ТОКАРЄВЕ;UA01180670000071873;Н;Токарєвська 
